name,smiles,measured_logS
1_2_3_4_tetrachlorobenzene,Clc1ccc(Cl)c(Cl)c1Cl,-4.57
1_2_benzenediol,Oc1ccccc1O,0.62
1_4_dichlorobenzene,Clc1ccc(Cl)cc1,-3.27
1_nonyne,CCCCCCCC#C,-4.24
2_2_4_trimethylpentane,CC(C)CC(C)(C)C,-4.74
2_3_4_5_pcb,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
2_4_6_trimethylphenol,Cc1cc(C)c(O)c(C)c1,-2.05
2_4_dimethyl_3_pentanone,CC(C)C(=O)C(C)C,-1.3
2_chloronapthalene,Clc1ccc2ccccc2c1,-4.14
2_ethyl_2_hexanal,CCCC=C(CC)C=O,-2.46
2_methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84
2_phenoxyethanol,OCCOc1ccccc1,-0.7
3_methylphenol,Cc1cccc(O)c1,-0.68
4_heptanol,CCCC(O)CCC,-1.4
5_fluorouracil,Fc1c[nH]c(=O)[nH]c1=O,-1.077
9_anthrol,c3ccc2c(O)c1ccccc1cc2c3,-4.73
ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
benzonitrile,N#Cc1ccccc1,-1.0
benzothiazole,c2ccc1scnc1c2,-1.5
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19
carbanilide,O=C(Nc1ccccc1)Nc2ccccc2,-3.15
chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.43
citral,CC(C)=CCCC(C)=CC(=O),-2.06
clonazepam,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499
cycloheptyl_5_spirobarbituric_acid,O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
ddt,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
dibenzothiophene,c1ccc2c(c1)sc3ccccc23,-4.38
diisooctyl_phthalate,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637
estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
estrone,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
ethinyl_estradiol,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.3
fenarimol,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
fenfuram,Cc1occc1C(=O)Nc2ccccc2,-3.3
fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,-3.43
fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,-6.0
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
hydrocortisone,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
isoquinoline,c1ccc2cnccc2c1,-1.45
linalool,CC(C)=CCCC(O)(C)C=C,-1.99
malonic_acid_diethylester,CCOC(=O)CC(=O)OCC,-0.82
metalaxyl,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.601
methoprene,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
methoproptryne,COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
minoxidil,Nc1cc(nc(N)n1=O)N2CCCCC2,-1.989
n_methylaniline,CNc1ccccc1,-1.28
nerol,CC(C)=CCC/C(C)=C\CO,-2.46
nifuroxime,ON=Cc1ccc(o1)N(=O)=O,-2.19
nitrapyrin,Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
o_nitrotoluene,Cc1ccccc1N(=O)=O,-2.33
o_xylene,Cc1ccccc1C,-2.8
oxadiazon,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696
p_cresol,Cc1ccc(O)cc1,-0.73
p_t_butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41
perfluidone,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
phenothrin,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C,-5.24
picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
prasterone,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
probarbital,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42
santonin,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
teflubenzuron,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,-7.28
triamterene,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
uracil,O=c1cc[nH]c(=O)[nH]1,-1.488
